"ns,type,xmlpath,amz_attrib,amz-format,title,mandatory,amz-max-length,amz-min-length,id,max-allowed-lines,aum,vkey,variation-type,prompt,data,amz-allow-blank",,,,,,,,,,,,,,,,,
"Parentage","ColorName","LensWidth","variation-theme","shoes","Item-type","color-map","department","frame-material-type","item-shape","lenscolor","lens-color-map","lens-material-type","LensWidth","occasion-lifestyle","MagnificationStrength","polarization-type","special-feature1"
"product","product","product","product",,"product","product","product","product","product","product","product","product","product","product","product","product","product"
"variation","variation","variation","variation","hidden","textbox","select","select","select","select","variation","select","select","variation","select","variation","select","textlist"
"Shoes.VariationData.Parentage","Shoes.VariationData.Color","Shoes.VariationData.Color","Shoes.VariationData.VariationTheme",,,"Shoes.ClassificationData.ColorMap","Shoes.ClassificationData.Department","Shoes.ClassificationData.FrameMaterialType","Shoes.ClassificationData.ItemShape","Shoes.ClassificationData.LensColor","Shoes.ClassificationData.LensColorMap","Shoes.ClassificationData.LensMaterialType","Shoes.ClassificationData.LensWidth","Shoes.ClassificationData.OccasionAndLifestyle","Shoes.ClassificationData.MagnificationStrength","Shoes.ClassificationData.PolarizationType","Shoes.ClassificationData.SpecialFeatures"
"parentage","ColorNName","LensWidth","VariationTheme",,,"ColorMap","Department","FrameMaterialType","ItemShape","LensColor","LensColorMap","LensMaterialType","LensWidth","OccasionAndLifestyle","MagnificationStrength","PolarizationType","SpecialFeatures"
"Text","Text","Number","Verbatim",,,"Text","Text","text","text","Text","text","text","Number","Text","Scaler","text","Textlist"
,,,,,"Item Type","Color Map","Department","Frame Material Type","Item Shape",,"Lens Color Map","Lens Material Type",,"Occasion and Lifestyle",,"Polarization Type","Special Features"
,,,,,,"Y","Y","Y","Y",,"Y","Y",,,,"Y",
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"variation:parentage","variation:colorname","variation:lenswidth","variation:theme","CRCQVVN","amz:prod_cloth_cd_itemtype","amz:prod_cloth_cd_colormap","amz:prod_cloth_cd_dpt","amz:prod_shoe_cd_framematerialtype","amz:prod_shoe_cd_itemshape","variation:lenscolor","amz:prod_shoe_cd_lenscolormap","amz:prod_shoe_cd_lensmaterialtype","variation:lenswidth","amz:prod_cloth_cd_occandlife","variation:magnificationstrength","amz:prod_shoe_cd_polarizationtype","amz:prod_cloth_cd_specialfeat"
,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,
,"ColorName","LensWidth",,,,,,,,"LensColor",,,"LensWidth",,"MagnificationStrength",,
"parentage","value","value","theme",,,,,,,"value",,,"value",,"value",,
,,,,"SHOES",,,,,,,,,,,,,
,,,,"product:amz:catalog",,,,,,,,,,,,,
,,,,"Y",,,,,,,,,,,,,
,,,,,,"beige","baby-boy","composite","aviator",,"beige","composite",,"bridal",,"iridium",
,,,,,,"black","baby-girl","metal","oval",,"black","glass",,"cold-weather",,"non-polarized",
,,,,,,"blue","boys","resin","oversized",,"blue","plastic",,"dress",,"polarized",
,,,,,,"bronze","girls","titanium","rectangular",,"bronze","gradient",,"fashion",,,
,,,,,,"brown","mens","plastic","rimless",,"brown","photochromatic",,"formal",,,
,,,,,,"gold","unisex-adult","memory-metal","round",,"gold","mirrored",,"rain",,,
,,,,,,"green","unisex-baby",,"semi-rimless",,"green","anti-reflective",,"retro",,,
,,,,,,"grey","unisex-child",,"shield",,"grey","interchangeable",,"work-utility",,,
,,,,,,"metallic","womens",,"sport",,"metallic",,,,,,
,,,,,,"multicoloured","teen-girls",,"square",,"multicoloured",,,,,,
,,,,,,"off-white","teen-boys",,"wayfarer",,"off-white",,,,,,
,,,,,,"orange","unisex-teen",,"wrap",,"orange",,,,,,
,,,,,,"pink",,,"butterfly",,"pink",,,,,,
,,,,,,"purple",,,"goggle",,"purple",,,,,,
,,,,,,"red",,,"cateye",,"red",,,,,,
,,,,,,"silver",,,,,"silver",,,,,,
,,,,,,"transparent",,,,,"transparent",,,,,,
,,,,,,"turquoise",,,,,"turquoise",,,,,,
,,,,,,"white",,,,,"white",,,,,,
,,,,,,"yellow",,,,,"yellow",,,,,,
